Company,Industry,Region,Year,Company Report,Recommended Disclosure,Report URL
EnBW,Energy,Europe,2019,"Integrated Annual Report 2019, p. 122",Risk Management a); Risk Management b); Risk Management c),https://www.enbw.com/media/bericht/bericht_2019/downloads/integrated-annual-report-2019.pdf#page=127
Enel,Energy,Europe,2020,"Integrated Annual Report 2020, p. 113",Strategy b),https://www.enel.com/content/dam/enel-com/documenti/investitori/informazioni-finanziarie/2020/annuali/en/integrated-annual-report_2020.pdf#page=115
Enel,Energy,Europe,2019,"Consolidated Annual Report 2019, pp. 57, 63",Risk Management a); Risk Management b); Risk Management c),https://www.enel.com/content/dam/enel-com/documenti/investitori/informazioni-finanziarie/2019/annuali/en/annual-report_2019.pdf#page=59
Energias de Portugal (EDP),Energy,Europe,2018,"EDP Sustainability Report 2018, p. 50",Strategy a),https://www.edp.com/sites/default/files/relatorio_de_sustentabilidade_2018_en_2.pdf#page=56
Energie Baden-Württemberg (EnBW),Energy,Europe,2018,"Integrated Annual Report 2018, pp. 53-54",Strategy b),https://www.enbw.com/media/bericht/bericht_2018/downloads/integrated-annual-report-2018.pdf#page=57
Eni,Energy,Europe,2020,"Eni for 2020: Carbon neutrality by 2050, p. 20",Strategy c),https://www.eni.com/assets/documents/eng/just-transition/2020/Eni-for-2020-Carbon-neutrality-by-2050.pdf#page=22
Eni,Energy,Europe,2017,"2017 Integrated Report, p. 95",Strategy a),https://www.eni.com/assets/documents/documents-en/Integrated-Annual-Report-2017-eng.pdf#page=97
Eni,Energy,Europe,2019,"Annual Report 2019, pp. 20–22",Risk Management c),https://www.eni.com/assets/documents/eng/reports/2019/Annual-Report-2019.pdf#page=24
Equinor,Energy,Europe,2020,"2020 Sustainability Report, p. 17",Strategy c),https://www.equinor.com/content/dam/statoil/documents/sustainability-reports/2020/equinor-sustainability-report-2020.pdf
Equinor (formerly Statoil),Energy,Europe,2017,"2017 Annual Report and Form 20-F, p. 69",Strategy c),https://www.equinor.com/content/dam/statoil/documents/annual-reports/2017/statoil-annual-report-20f-2017.pdf
